Stockname,Mentions,countpositive,countnegative,countneutral,verbs,aggscoresum
FSD,1.0,1.0,0.0,0.0,"['make', 'produce', 'categorize', 'catch', 'lead', 'say', 'charge', 'stop', 'innovate', 'ask', 'go', 'design', 'plan', 'base', 'happen', 'develop', 'ignore']",-5.0
JPM,1.0,0.0,1.0,0.0,['pay'],31.0
TM,1.0,0.0,0.0,0.0,[],
GM,1.0,1.0,0.0,0.0,"['survive', 'come', 'happen', 'guess', 't']",57.0
AA,1.0,1.0,0.0,0.0,"['lol', 's', 'compare', 'produce']",10.0
EQS,1.0,1.0,0.0,0.0,"['want', 'value', 'do', 'shine', 'stabilize', 'tackle', 'range', 'ramp', 'take', 'increase', 'imagine', 'start', 'produce', 'hit', 'complain', 'deliver', 'show', 'float', 'mean']",499.0
EDIT,1.0,0.0,0.0,0.0,[],
NKLA,1.0,0.0,1.0,0.0,"['stage', 'seem', 'use']",23.0
PDT,1.0,0.0,1.0,0.0,"['start', 'force', 'spend', 'buy', 'help', 'survive', 'reserve', 'take', 'avoid', 'save', 'think', 'trade', 'leave', 'stay', 'worsen', 'try', 'violate']",16.0
OR,1.0,1.0,0.0,0.0,"['buy', 'sell', 'give', 'say', 'hold', 'make']",12.0
MVIS,1.0,0.0,0.0,0.0,[],
BYND,1.0,1.0,0.0,0.0,"['ask', 'touch', 'bynd']",41.0
SNOW,1.0,1.0,0.0,0.0,"['think', 'point', 'trade', 'pltr', 'compare', 'include', 'use', 'start', 'do', 'require']",26.0
AYX,1.0,1.0,0.0,0.0,"['think', 'point', 'trade', 'pltr', 'compare', 'include', 'use', 'start', 'do', 'require']",26.0
IP,1.0,0.0,1.0,0.0,['sell'],-5.0
K,1.0,1.0,0.0,0.0,"['know', 'destroy', 'remove', 'at', 'look', 'double', 'check', 'get']",13.0
ANY,1.0,0.0,1.0,0.0,"['rememr', 'show', 'know', 'see', 'read', 'go', 'pay', 'pass', 'celebrate', 'mean', 'ignore', 'tell', 'find', 'use', 'upvote', 'write', 'do', 'buy']",-5.0
ONE,1.0,0.0,0.0,1.0,"['make', 'check', 'lmaoooo']",-12.0
HUGE,1.0,1.0,0.0,0.0,"['find', 'see', 'troll', 'store', 'go', 'look', 'make', 'sell', 'move', 'want', 'gain', 'focus', 'get', 'invest', 'think', 'maintain', 'help', 'adopt', 'do']",-7.0
NET,1.0,1.0,0.0,0.0,"['find', 'see', 'troll', 'store', 'go', 'look', 'make', 'sell', 'move', 'want', 'gain', 'focus', 'get', 'invest', 'think', 'maintain', 'help', 'adopt', 'do']",-7.0
SPCE,1.0,1.0,0.0,0.0,"['tell', 'keep']",68.0
R,1.0,1.0,0.0,0.0,"['mean', 'take', 'deliver', 'turn', 'found', 'think', 'identify', 'collaborate', 'make', 'spend', 'orient']",20.0
T,1.0,0.0,1.0,0.0,"['get', 'shenanigan', 'stay', 'buy', 'do']",18.0
L,1.0,0.0,0.0,1.0,"['take', 'get', 'fuck', 'deserve']",-22.0
UK,1.0,0.0,1.0,0.0,"['sue', 'want', 'use', 'deceive', 'create', 'hope', 'accept', 'win', 'edit', 'follow', 'leave', 'look', 'complain', 'drop', 'show', 'do', 'get']",39.0
KEY,1.0,1.0,0.0,0.0,"['buy', 'make', 'take', 'wait', 'move', 'sell', 'repeat']",64.0
SDC,1.0,1.0,0.0,0.0,"['get', 'lose', 'learn', 'recommend', 'affect', 'make', 'put', 'clov', 'lcid', 'screw']",16.0
JP,1.0,1.0,0.0,0.0,"['tesla', 'know']",11.0
PHD,1.0,1.0,0.0,0.0,[],17.0
APHA,1.0,1.0,0.0,0.0,"['keep', 'rememr', 'load', 'control', 'know', 'do', 'go']",15.0
THC,1.0,0.0,0.0,0.0,[],
AMZN,1.0,0.0,1.0,0.0,"['pay', 'mean', 'double', 'scratch', 'keep', 'fly', 'wait', 'come']",46.0
Y,1.0,1.0,0.0,0.0,"['take', 'release', 's']",10.0
CO,1.0,0.0,1.0,0.0,"['buy', 'go', 'smoke', 'grow', 'get', 'roll', 'matter']",10.0
LIVE,1.0,0.0,0.0,1.0,"['let', 'hope', 'want', 'live', 'own', 'buy', 'rent', 'need', 'manage', 'take']",183.0
SALT,1.0,1.0,0.0,0.0,"['buy', 'keep', 'prevent', 'revise', 'purchase', 'pay', 'help', 'kill', 'require', 'count', 'decide', 'force', 'sell', 'take', 'do', 'raise', 'own']",31.0
CASH,1.0,1.0,0.0,0.0,"['buy', 'love', 'wait', 'rent', 'build', 'name', 'live', 'snap', 'see', 'wish']",31.0
WISH,1.0,1.0,0.0,0.0,"['t', 'hear', 'buy', 'go']",-135.0
W,1.0,1.0,0.0,0.0,"['know', 'destroy', 'remove', 'at', 'look', 'double', 'check', 'get']",13.0
G,1.0,1.0,0.0,0.0,"['know', 'destroy', 'remove', 'at', 'look', 'double', 'check', 'get']",13.0
QQQ,1.0,1.0,0.0,0.0,"['know', 'destroy', 'remove', 'at', 'look', 'double', 'check', 'get']",13.0
FB,1.0,1.0,0.0,0.0,"['give', 'recruit', 'get', 'understand', 'hire', 'take', 'know', 'doubt', 'play']",23.0
